Amber	B-PERSON
Walker	B-PERSON
confirmed	O
a	O
suspicious	O
package	O
was	O
found	O
near	O
Christopherside	B-LOCATION
around	O
07:45.	B-TIME

midnight:	B-TIME
Surveillance	O
detected	O
Joseph	B-PERSON
Elliott	B-PERSON
transporting	O
IED	B-WEAPON
through	O
Kimmouth.	B-LOCATION

At	O
03:00,	B-TIME
James	B-PERSON
Harris	B-PERSON
met	O
with	O
Barbara	B-PERSON
Wood	B-PERSON
in	O
Lake	O
Brittanyland	O
to	O
discuss	O
IED.	B-WEAPON

Madison	B-PERSON
Fischer	B-PERSON
warned	O
of	O
an	O
impending	O
attack	O
in	O
West	O
Bobbymouth	O
using	O
sniper	O
rifle	O
at	O
evening.	B-TIME

At	O
dawn,	B-TIME
Edward	B-PERSON
Mitchell	B-PERSON
met	O
with	O
Paul	B-PERSON
Roberts	B-PERSON
in	O
Jenniferchester	B-LOCATION
to	O
discuss	O
grenade.	B-WEAPON

At	O
13:30,	B-TIME
Jessica	B-PERSON
Smith	B-PERSON
met	O
with	O
Jessica	B-PERSON
Sanders	B-PERSON
in	O
South	O
Jeremyberg	O
to	O
discuss	O
drone.	B-WEAPON

Multiple	O
drones	O
carrying	O
grenade	B-WEAPON
spotted	O
near	O
Port	O
Stephenland	O
just	O
after	O
20:15.	B-TIME

13:30:	B-TIME
Surveillance	O
detected	O
Susan	B-PERSON
York	B-PERSON
transporting	O
IED	B-WEAPON
through	O
West	O
Eric.	O

Julie	B-PERSON
Phillips	B-PERSON
and	O
Melissa	B-PERSON
Potter	B-PERSON
conducted	O
a	O
drill	O
with	O
drone	B-WEAPON
near	O
Ortegafurt	B-LOCATION
around	O
03:00.	B-TIME

At	O
13:30,	B-TIME
Annette	B-PERSON
Williams	B-PERSON
met	O
with	O
Joann	B-PERSON
Murphy	B-PERSON
in	O
Thompsonfurt	B-LOCATION
to	O
discuss	O
AK-47.	B-WEAPON

Authorities	O
in	O
Henrytown	B-LOCATION
detained	O
Kimberly	B-PERSON
Jones	B-PERSON
with	O
explosives	O
resembling	O
IED	B-WEAPON
at	O
13:30.	B-TIME

Dr.	B-PERSON
Bruce	O
Hart	B-PERSON
confirmed	O
a	O
suspicious	O
package	O
was	O
found	O
near	O
Silvaport	B-LOCATION
around	O
midnight.	B-TIME

midnight:	B-TIME
Surveillance	O
detected	O
Michelle	B-PERSON
Lee	B-PERSON
transporting	O
AK-47	B-WEAPON
through	O
Port	O
Angela.	O

Allen	B-PERSON
Wilson	B-PERSON
warned	O
of	O
an	O
impending	O
attack	O
in	O
South	O
Michaelburgh	O
using	O
AK-47	B-WEAPON
at	O
midnight.	B-TIME

Security	O
forces	O
responded	O
to	O
a	O
threat	O
involving	O
IED	B-WEAPON
in	O
South	O
Sarahview	O
led	O
by	O
Melissa	B-PERSON
Clayton	B-PERSON
at	O
20:15.	B-TIME

Mrs.	B-PERSON
Stephanie	O
Hayden	B-PERSON
warned	O
of	O
an	O
impending	O
attack	O
in	O
Lake	O
Katelyn	O
using	O
chemical	O
gas	O
at	O
03:00.	B-TIME

Security	O
forces	O
responded	O
to	O
a	O
threat	O
involving	O
drone	B-WEAPON
in	O
Francisstad	B-LOCATION
led	O
by	O
Marcus	B-PERSON
Morris	B-PERSON
at	O
evening.	B-TIME

Nicole	B-PERSON
Davidson	B-PERSON
confirmed	O
a	O
suspicious	O
package	O
was	O
found	O
near	O
Rebeccafurt	B-LOCATION
around	O
20:15.	B-TIME

midnight:	B-TIME
Surveillance	O
detected	O
Isaac	B-PERSON
Beard	B-PERSON
transporting	O
drone	B-WEAPON
through	O
Amyton.	B-LOCATION

midnight:	B-TIME
Surveillance	O
detected	O
Robert	B-PERSON
Edwards	B-PERSON
transporting	O
grenade	B-WEAPON
through	O
East	O
Robert.	B-PERSON

Military	O
sources	O
say	O
Gina	B-PERSON
Steele	B-PERSON
planned	O
a	O
strike	O
at	O
Toddside	B-LOCATION
using	O
sniper	O
rifle	O
at	O
20:15.	B-TIME

At	O
13:30,	B-TIME
Nancy	B-PERSON
Parsons	B-PERSON
met	O
with	O
Justin	B-PERSON
Taylor	B-PERSON
in	O
East	O
Sandra	O
to	O
discuss	O
RPG.	B-WEAPON

Peter	B-PERSON
Oneal	O
MD	B-PERSON
and	O
Robert	B-PERSON
Shields	B-PERSON
conducted	O
a	O
drill	O
with	O
AK-47	B-WEAPON
near	O
Watsonhaven	B-LOCATION
around	O
evening.	B-TIME

Multiple	O
drones	O
carrying	O
sniper	O
rifle	O
spotted	O
near	O
Geraldton	B-LOCATION
just	O
after	O
midnight.	B-TIME

Military	O
sources	O
say	O
Nicole	B-PERSON
Howard	B-PERSON
planned	O
a	O
strike	O
at	O
East	O
Cherylburgh	O
using	O
IED	B-WEAPON
at	O
20:15.	B-TIME

evening:	B-TIME
Surveillance	O
detected	O
Donald	B-PERSON
Vasquez	B-PERSON
transporting	O
IED	B-WEAPON
through	O
Washingtonbury.	B-LOCATION

Authorities	O
in	O
West	O
Rebeccaville	O
detained	O
Brittany	B-PERSON
White	B-PERSON
with	O
explosives	O
resembling	O
drone	B-WEAPON
at	O
13:30.	B-TIME

Jonathan	B-PERSON
Wise	B-PERSON
confirmed	O
a	O
suspicious	O
package	O
was	O
found	O
near	O
New	O
Douglas	O
around	O
07:45.	B-TIME

At	O
midnight,	B-TIME
Caitlin	B-PERSON
Stewart	B-PERSON
met	O
with	O
Sierra	B-PERSON
Mitchell	B-PERSON
in	O
Lisaville	B-LOCATION
to	O
discuss	O
sniper	O
rifle.	O

dawn:	B-TIME
Surveillance	O
detected	O
Megan	B-PERSON
Clayton	B-PERSON
transporting	O
chemical	O
gas	O
through	O
North	O
Nancyhaven.	O

Multiple	O
drones	O
carrying	O
RPG	B-WEAPON
spotted	O
near	O
New	O
Crystaltown	O
just	O
after	O
03:00.	B-TIME

13:30:	B-TIME
Surveillance	O
detected	O
Karen	B-PERSON
Jones	B-PERSON
transporting	O
RPG	B-WEAPON
through	O
North	O
Thomas.	O

A	O
joint	O
operation	O
led	O
by	O
Connor	B-PERSON
Willis	B-PERSON
uncovered	O
hidden	O
AK-47	B-WEAPON
caches	O
in	O
Lydiamouth.	B-LOCATION

Multiple	O
drones	O
carrying	O
chemical	O
gas	O
spotted	O
near	O
North	O
Ericaton	O
just	O
after	O
07:45.	B-TIME

Multiple	O
drones	B-WEAPON
carrying	O
drone	B-WEAPON
spotted	O
near	O
Thompsonview	B-LOCATION
just	O
after	O
20:15.	B-TIME

Austin	B-PERSON
Hood	B-PERSON
confirmed	O
a	O
suspicious	O
package	O
was	O
found	O
near	O
South	O
Sabrina	O
around	O
evening.	B-TIME

Multiple	O
drones	O
carrying	O
AK-47	B-WEAPON
spotted	O
near	O
Walterchester	B-LOCATION
just	O
after	O
20:15.	B-TIME

A	O
joint	O
operation	O
led	O
by	O
Jennifer	B-PERSON
Williams	B-PERSON
uncovered	O
hidden	O
AK-47	B-WEAPON
caches	O
in	O
Danieltown.	B-LOCATION

evening:	B-TIME
Surveillance	O
detected	O
Sarah	B-PERSON
Delacruz	B-PERSON
transporting	O
AK-47	B-WEAPON
through	O
Ericburgh.	B-LOCATION

evening:	B-TIME
Surveillance	O
detected	O
Rhonda	B-PERSON
Simon	B-PERSON
transporting	O
chemical	O
gas	O
through	O
East	O
Stephanieland.	O

Steven	B-PERSON
Sanford	B-PERSON
confirmed	O
a	O
suspicious	O
package	O
was	O
found	O
near	O
North	O
Joel	O
around	O
03:00.	B-TIME

At	O
midnight,	B-TIME
Candace	B-PERSON
Leon	B-PERSON
met	O
with	O
Debra	B-PERSON
Ramos	B-PERSON
in	O
Tamaraland	B-LOCATION
to	O
discuss	O
AK-47.	B-WEAPON

Authorities	O
in	O
Duartemouth	B-LOCATION
detained	O
Anthony	B-PERSON
Holmes	B-PERSON
with	O
explosives	O
resembling	O
IED	B-WEAPON
at	O
20:15.	B-TIME

Multiple	O
drones	O
carrying	O
sniper	O
rifle	O
spotted	O
near	O
Hernandezshire	B-LOCATION
just	O
after	O
13:30.	B-TIME

A	O
joint	O
operation	O
led	O
by	O
Angelica	B-PERSON
Lopez	B-PERSON
uncovered	O
hidden	O
RPG	B-WEAPON
caches	O
in	O
West	O
Benjamin.	O

dawn:	B-TIME
Surveillance	O
detected	O
Alexandria	B-PERSON
Valdez	B-PERSON
transporting	O
RPG	B-WEAPON
through	O
Greenetown.	B-LOCATION

Dakota	B-PERSON
Wilson	B-PERSON
and	O
Jon	B-PERSON
Vargas	B-PERSON
conducted	O
a	O
drill	O
with	O
drone	B-WEAPON
near	O
Yangmouth	B-LOCATION
around	O
midnight.	B-TIME

Security	O
forces	O
responded	O
to	O
a	O
threat	O
involving	O
IED	B-WEAPON
in	O
North	O
Cameron	O
led	O
by	O
Jennifer	B-PERSON
Walker	B-PERSON
at	O
03:00.	B-TIME

Security	O
forces	O
responded	O
to	O
a	O
threat	O
involving	O
IED	B-WEAPON
in	O
Smithhaven	B-LOCATION
led	O
by	O
Dawn	B-PERSON
Bowen	B-PERSON
at	O
03:00.	B-TIME

03:00:	B-TIME
Surveillance	O
detected	O
Joseph	B-PERSON
Cantrell	B-PERSON
transporting	O
IED	B-WEAPON
through	O
East	O
Suzanne.	O

Jessica	B-PERSON
Anderson	B-PERSON
and	O
Kelly	B-PERSON
Wilson	B-PERSON
conducted	O
a	O
drill	O
with	O
AK-47	B-WEAPON
near	O
Keithbury	B-LOCATION
around	O
13:30.	B-TIME

Jeffrey	B-PERSON
Rodriguez	B-PERSON
warned	O
of	O
an	O
impending	O
attack	O
in	O
Brownchester	B-LOCATION
using	O
grenade	B-WEAPON
at	O
13:30.	B-TIME

Multiple	O
drones	O
carrying	O
sniper	O
rifle	O
spotted	O
near	O
North	O
Robert	O
just	O
after	O
13:30.	B-TIME

At	O
03:00,	B-TIME
Mark	B-PERSON
Jacobs	B-PERSON
met	O
with	O
William	B-PERSON
