text,label
Sarah Miller warned of an impending attack in Fairview using a missile at dawn,critical
Sarah Miller confirmed a suspicious package was found near East Andremouth at 20:15,suspicious
Military sources say Michelle Green planned a strike at Riverside using chemical gas early morning,critical
Michelle Green led a successful operation neutralizing pistol threats in Kingston,benign
John Carter led a successful operation neutralizing grenade threats in Lakeside,benign
Melissa Stark confirmed a suspicious package was found near Port Veronicaville in the evening,suspicious
Civilians in Lakeside reported unusual activity involving a grenade observed by Susan Brown at night,suspicious
Authorities discovered explosive stockpiles in Coxshire after intel from Susan Brown,critical
Dr Emily White discussed the historical use of dynamite in mining operations during her lecture,benign
An unidentified drone was spotted hovering over the Port Charles financial district at midnight,suspicious
The films plot revolved around a terrorist cell planning to detonate a dirty bomb in the city,benign
Security intercepted a communication from Mark Johnson detailing a plan to use a car bomb on the main bridge,critical
A backpack was left unattended at the central train station prompting an evacuation,suspicious
The training exercise involved simulating a response to a nerve agent release,benign
Intelligence reports indicate a group led by Robert Davis is acquiring materials for an IED,critical
Residents reported seeing a person in a black hoodie filming the entrance to the power plant,suspicious
The history channel documentary detailed the assassination of a world leader,benign
Online chatter monitored by the agency shows increased interest in making homemade explosives,critical
A strange vehicle has been parked outside the embassy for three days,suspicious
The novels protagonist was a spy trying to stop a nuclear weapon from falling into the wrong hands,benign
Maria Garcia overheard a conversation about a delivery happening at the port at 03:00 that felt off,suspicious
Intercepted emails from David Rodriguez contain blueprints of the citys water treatment facility,critical
A local farmer reported finding a hidden cache of rifles and ammunition in his barn,critical
The police department held a press conference about their new bomb-sniffing dog unit,benign
Someone was seen using binoculars to watch the security patrols at the military base,suspicious
A manifest for a cargo ship lists agricultural fertilizer in unusually large quantities flagged by customs,suspicious
Jessica Taylors online history shows multiple searches for how to build a pressure cooker bomb,critical
The museums new exhibit features decommissioned historical weapons,benign
A man was seen pacing back and forth near the schoolyard muttering to himself,suspicious
The alert system was triggered by a message from James Smith mentioning a cleansing fire at the festival,critical
A caller reported a strong chemical smell similar to ammonia coming from a neighbors garage,suspicious
The video games objective is to defuse a series of virtual bombs against the clock,benign
Undercover agent Michael Brown confirmed the sale of automatic weapons would take place in the warehouse district,critical
Security cameras captured someone tampering with the lock on a restricted access door at the airport,suspicious
The news report covered the peaceful resolution of a hostage situation,benign
A coded message intercepted from Linda Williams refers to the wedding which is intel code for an attack,critical
A janitor found a map of the subway system with several stations circled in red in a trash can,suspicious
The university research paper discusses the theoretical impact of a radiological dirty bomb,benign
Christopher Johnson was arrested for attempting to purchase C-4 explosives from an undercover FBI agent,critical
A pilot reported a near-miss with a large unmarked drone near the airports flight path,suspicious
The movie review praised the realistic portrayal of counter-terrorism operations,benign
A credible informant warns that a suicide bomber is targeting the upcoming political rally,critical
A power outage affecting only the security systems of a major bank was reported at 2 AM,suspicious
The charity event is raising money for victims of past terrorist attacks,benign
A social media post from Patricia Jones shows her posing with a collection of illegal firearms,critical
A gas mask and filters were found abandoned near the citys main reservoir,suspicious
The documentary explored the tactics used by law enforcement to dismantle terrorist networks,benign
Intel confirms a sleeper cell has been activated by a coded phrase broadcast on a shortwave radio station,critical
A rental truck was reported stolen and its GPS tracker disabled shortly after,suspicious
The historical society is commemorating the anniversary of a bombing that occurred 50 years ago,benign
A wiretap on Jennifer Martinezs phone recorded her discussing the final exam for a martyrdom operation,critical
A security guard noted a car circling the block around the federal building multiple times,suspicious
The fictional spy thriller described a plot to assassinate a world leader,benign
Robert Williams reported his roommate Daniel Brown was stockpiling large quantities of hydrogen peroxide and acetone,critical
A citizen reported seeing someone in a hazmat suit dumping barrels into the river late at night,suspicious
The city council approved funding for new more advanced airport security scanners,benign
A threat was called in stating a bomb is planted in the city hall set to go off at noon,critical
An individual was observed trying to open multiple car doors in the stadium parking lot during a game,suspicious
The war museum has an extensive collection of historical firearms and artillery,benign
A hacker group known for terrorist affiliations has claimed responsibility for shutting down the power grid,critical
A lost child was reported at the mall causing a temporary security alert,suspicious
The police chief gave a speech on the importance of the See Something Say Something campaign,benign
A source inside the organization revealed that Elizabeth Johnson is planning to poison the water supply,critical
A man was seen hurriedly walking away from a briefcase he left on a park bench,suspicious
The chemistry class was learning about the explosive properties of certain elements,benign
An anonymous tip claims a truck filled with explosives is heading towards the capital,critical
A drone was seen flying low over the oil refinery a restricted airspace,suspicious
The community held a vigil to remember the victims of the airline hijacking,benign
A raid on a suspected safe house uncovered detailed plans for an attack on the embassy,critical
A person was reported to be asking very specific questions about the security guard shift changes,suspicious
The action movie featured a high-speed chase involving machine guns and rocket launchers,benign
A captured operative confessed that a shipment of nerve gas is being smuggled across the border tonight,critical
A loud bang was heard near the government complex but it was just a car backfiring,suspicious
The training manual for the security team outlines procedures for a bomb threat,benign
A manifesto was posted online by William Davis declaring his intent to start a revolution with violence,critical
A man bought a one-way ticket to a foreign country and paid in cash after abandoning his car at the airport,suspicious
The history lecture covered the use of guerrilla warfare tactics,benign
A credible source reports that a terrorist group is planning to use a surface-to-air missile to shoot down a commercial airliner,critical
A groundskeeper found wires sticking out of the ground near the base of a major communication tower,suspicious
The crime lab is analyzing residue found on the suspects clothing for traces of explosives,benign
An informant has provided the exact location and time of a planned bombing at the shopping mall,critical
A person was seen using a mirror to flash signals towards the prison yard,suspicious
The newspaper article discussed the political motivations behind historical acts of terrorism,benign
A communication was intercepted detailing the final preparations for a coordinated attack on public transportation,critical
A bag containing several passports with different names but the same photo was found in a hotel room,suspicious
The safety demonstration explained what to do in case of an emergency landing,benign
A known extremist Richard Garcia has just purchased a large drone and several pounds of ball bearings,critical
A customer at a hardware store bought an unusual combination of nails fireworks and a pressure cooker,suspicious
The documentary series explores the psychology of individuals who join terrorist organizations,benign
